,Date,Open,High,Low,Close
4560,2006-02-15,1.1915,1.1954,1.1868,1.1888
4559,2006-02-16,1.1887,1.1909,1.1846,1.1903
4558,2006-02-17,1.1928,1.1942,1.1869,1.193
4557,2006-02-20,1.1928,1.1974,1.1921,1.1937
4556,2006-02-21,1.1936,1.1941,1.1888,1.1911
4555,2006-02-22,1.1911,1.1929,1.1857,1.1908
4554,2006-02-23,1.1913,1.1969,1.1889,1.1919
4553,2006-02-24,1.1918,1.1934,1.1861,1.1875
4552,2006-02-27,1.1871,1.1877,1.1825,1.1846
4551,2006-02-28,1.1845,1.194,1.1832,1.192
4550,2006-03-01,1.1921,1.1973,1.1888,1.1915
4549,2006-03-02,1.1921,1.2045,1.191,1.2034
4548,2006-03-03,1.2038,1.2051,1.1992,1.203
4547,2006-03-06,1.2047,1.2093,1.1987,1.2013
4546,2006-03-07,1.2018,1.2021,1.1866,1.1885
4545,2006-03-08,1.1884,1.194,1.187,1.1925
4544,2006-03-09,1.1923,1.1952,1.1901,1.1907
4543,2006-03-10,1.1911,1.1931,1.1857,1.1913
4542,2006-03-13,1.1914,1.1969,1.1908,1.1957
4541,2006-03-14,1.1961,1.2031,1.1936,1.201
4540,2006-03-15,1.2011,1.2074,1.2003,1.2068
4539,2006-03-16,1.2068,1.2189,1.2032,1.2179
4538,2006-03-17,1.2182,1.2207,1.2139,1.2195
4537,2006-03-20,1.2168,1.2196,1.2147,1.2165
4536,2006-03-21,1.2154,1.2171,1.2074,1.2092
4535,2006-03-22,1.2094,1.2114,1.2062,1.2074
4534,2006-03-23,1.2075,1.2081,1.1953,1.1967
4533,2006-03-24,1.1971,1.2046,1.1949,1.203
4532,2006-03-27,1.2037,1.2059,1.2001,1.2012
4531,2006-03-28,1.2015,1.2106,1.1991,1.1996
4530,2006-03-29,1.1998,1.2049,1.1978,1.2024
4529,2006-03-30,1.2022,1.2172,1.2019,1.216
4528,2006-03-31,1.2164,1.2175,1.2076,1.2121
4527,2006-04-03,1.2116,1.2148,1.2029,1.2131
4526,2006-04-04,1.2134,1.2276,1.2118,1.2258
